question,id,audio_path,optionA,optionB,optionC,optionD,correct,source_wavs,source_categories
How many different sound sources can be heard in this clip?,169,audios/169.wav,2,1,4,3,A,"['/home/data/ESC-50/ESC-50-master/audio/1-27166-A-35.wav', '/home/data/ESC-50/ESC-50-master/audio/3-155568-A-32.wav', '/home/data/ESC-50/ESC-50-master/audio/1-27166-A-35.wav', '/home/data/ESC-50/ESC-50-master/audio/3-155568-A-32.wav']","['washing_machine', 'keyboard_typing', 'washing_machine', 'keyboard_typing']"
How many different types of sounds can be identified in this recording?,171,audios/171.wav,1,0,3,2,A,['/home/data/ESC-50/ESC-50-master/audio/3-145382-A-1.wav'],['rooster']
How many unique types of sound are present in this audio?,172,audios/172.wav,4,3,5,2,B,"['/home/data/ESC-50/ESC-50-master/audio/5-218196-B-27.wav', '/home/data/ESC-50/ESC-50-master/audio/1-61261-A-44.wav', '/home/data/ESC-50/ESC-50-master/audio/5-218196-B-27.wav', '/home/data/ESC-50/ESC-50-master/audio/4-133047-C-5.wav', '/home/data/ESC-50/ESC-50-master/audio/4-133047-C-5.wav']","['brushing_teeth', 'engine', 'brushing_teeth', 'cat', 'cat']"
Identify the count of different sound sources in this clip.,173,audios/173.wav,3,0,1,2,C,"['/home/data/ESC-50/ESC-50-master/audio/1-7974-B-49.wav', '/home/data/ESC-50/ESC-50-master/audio/1-7974-B-49.wav']","['hand_saw', 'hand_saw']"
What is the total number of unique sounds heard in this audio?,174,audios/174.wav,3,2,1,4,B,"['/home/data/ESC-50/ESC-50-master/audio/2-57191-A-46.wav', '/home/data/ESC-50/ESC-50-master/audio/2-57191-A-46.wav', '/home/data/ESC-50/ESC-50-master/audio/2-77945-B-41.wav']","['church_bells', 'church_bells', 'chainsaw']"
Determine the number of unique sound sources in this recording.,176,audios/176.wav,3,2,4,5,A,"['/home/data/ESC-50/ESC-50-master/audio/5-263902-A-36.wav', '/home/data/ESC-50/ESC-50-master/audio/3-130998-B-28.wav', '/home/data/ESC-50/ESC-50-master/audio/5-160614-E-48.wav', '/home/data/ESC-50/ESC-50-master/audio/3-130998-B-28.wav']","['vacuum_cleaner', 'snoring', 'fireworks', 'snoring']"
How many separate sound sources are included in the audio?,177,audios/177.wav,3,1,2,4,C,"['/home/data/ESC-50/ESC-50-master/audio/5-210612-A-37.wav', '/home/data/ESC-50/ESC-50-master/audio/5-210612-A-37.wav', '/home/data/ESC-50/ESC-50-master/audio/5-210612-A-37.wav', '/home/data/ESC-50/ESC-50-master/audio/3-154439-A-17.wav']","['clock_alarm', 'clock_alarm', 'clock_alarm', 'pouring_water']"
How many different sound sources can be heard in this clip?,179,audios/179.wav,3,4,5,6,B,"['/home/data/ESC-50/ESC-50-master/audio/3-156393-A-35.wav', '/home/data/ESC-50/ESC-50-master/audio/2-78562-A-37.wav', '/home/data/ESC-50/ESC-50-master/audio/3-156393-A-35.wav', '/home/data/ESC-50/ESC-50-master/audio/4-157296-A-24.wav', '/home/data/ESC-50/ESC-50-master/audio/1-61212-A-32.wav']","['washing_machine', 'clock_alarm', 'washing_machine', 'coughing', 'keyboard_typing']"
What is the number of distinct sound sources in the audio file?,180,audios/180.wav,1,3,2,0,A,"['/home/data/ESC-50/ESC-50-master/audio/1-54505-A-21.wav', '/home/data/ESC-50/ESC-50-master/audio/1-54505-A-21.wav', '/home/data/ESC-50/ESC-50-master/audio/1-54505-A-21.wav', '/home/data/ESC-50/ESC-50-master/audio/1-54505-A-21.wav']","['sneezing', 'sneezing', 'sneezing', 'sneezing']"
How many unique types of sound are present in this audio?,182,audios/182.wav,0,2,1,3,C,"['/home/data/ESC-50/ESC-50-master/audio/4-218199-A-35.wav', '/home/data/ESC-50/ESC-50-master/audio/4-218199-A-35.wav', '/home/data/ESC-50/ESC-50-master/audio/4-218199-A-35.wav']","['washing_machine', 'washing_machine', 'washing_machine']"
Identify the count of different sound sources in this clip.,183,audios/183.wav,0,1,2,3,B,"['/home/data/ESC-50/ESC-50-master/audio/2-104475-A-37.wav', '/home/data/ESC-50/ESC-50-master/audio/2-104475-A-37.wav', '/home/data/ESC-50/ESC-50-master/audio/2-104475-A-37.wav']","['clock_alarm', 'clock_alarm', 'clock_alarm']"
What is the total number of unique sounds heard in this audio?,184,audios/184.wav,1,0,2,3,A,"['/home/data/ESC-50/ESC-50-master/audio/5-156999-D-19.wav', '/home/data/ESC-50/ESC-50-master/audio/5-156999-D-19.wav']","['thunderstorm', 'thunderstorm']"
How many distinct sound categories are there in this audio file?,185,audios/185.wav,0,1,3,2,B,"['/home/data/ESC-50/ESC-50-master/audio/4-157611-B-41.wav', '/home/data/ESC-50/ESC-50-master/audio/4-157611-B-41.wav']","['chainsaw', 'chainsaw']"
How many separate sound sources are included in the audio?,187,audios/187.wav,3,2,0,1,D,"['/home/data/ESC-50/ESC-50-master/audio/1-54752-A-18.wav', '/home/data/ESC-50/ESC-50-master/audio/1-54752-A-18.wav']","['toilet_flush', 'toilet_flush']"
What is the total number of unique sound types in this audio?,188,audios/188.wav,1,2,4,3,B,"['/home/data/ESC-50/ESC-50-master/audio/2-127108-A-38.wav', '/home/data/ESC-50/ESC-50-master/audio/2-127108-A-38.wav', '/home/data/ESC-50/ESC-50-master/audio/2-85292-A-24.wav', '/home/data/ESC-50/ESC-50-master/audio/2-127108-A-38.wav', '/home/data/ESC-50/ESC-50-master/audio/2-85292-A-24.wav']","['clock_tick', 'clock_tick', 'coughing', 'clock_tick', 'coughing']"
How many different sound sources can be heard in this clip?,189,audios/189.wav,4,1,3,2,D,"['/home/data/ESC-50/ESC-50-master/audio/5-219044-A-46.wav', '/home/data/ESC-50/ESC-50-master/audio/4-184237-A-28.wav', '/home/data/ESC-50/ESC-50-master/audio/5-219044-A-46.wav']","['church_bells', 'snoring', 'church_bells']"
What is the number of distinct sound sources in the audio file?,190,audios/190.wav,3,2,1,0,C,"['/home/data/ESC-50/ESC-50-master/audio/4-205526-B-23.wav', '/home/data/ESC-50/ESC-50-master/audio/4-205526-B-23.wav', '/home/data/ESC-50/ESC-50-master/audio/4-205526-B-23.wav']","['breathing', 'breathing', 'breathing']"
How many different types of sounds can be identified in this recording?,191,audios/191.wav,3,5,4,2,A,"['/home/data/ESC-50/ESC-50-master/audio/3-107123-A-26.wav', '/home/data/ESC-50/ESC-50-master/audio/5-198891-D-8.wav', '/home/data/ESC-50/ESC-50-master/audio/3-107123-A-26.wav', '/home/data/ESC-50/ESC-50-master/audio/4-182368-A-12.wav', '/home/data/ESC-50/ESC-50-master/audio/3-107123-A-26.wav']","['laughing', 'sheep', 'laughing', 'crackling_fire', 'laughing']"
Identify the count of different sound sources in this clip.,193,audios/193.wav,1,4,3,2,D,"['/home/data/ESC-50/ESC-50-master/audio/4-164064-A-1.wav', '/home/data/ESC-50/ESC-50-master/audio/5-171118-A-26.wav', '/home/data/ESC-50/ESC-50-master/audio/4-164064-A-1.wav', '/home/data/ESC-50/ESC-50-master/audio/5-171118-A-26.wav']","['rooster', 'laughing', 'rooster', 'laughing']"
What is the total number of unique sounds heard in this audio?,194,audios/194.wav,0,3,2,1,D,"['/home/data/ESC-50/ESC-50-master/audio/1-60997-A-20.wav', '/home/data/ESC-50/ESC-50-master/audio/1-60997-A-20.wav']","['crying_baby', 'crying_baby']"
How many distinct sound categories are there in this audio file?,195,audios/195.wav,2,3,0,1,D,"['/home/data/ESC-50/ESC-50-master/audio/4-145006-A-18.wav', '/home/data/ESC-50/ESC-50-master/audio/4-145006-A-18.wav']","['toilet_flush', 'toilet_flush']"
